headword	id	sort_order	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	main_form	related_headword	dewk_main_form_on_variant	link_de	link_en
da haben wir den Salat	2792	2792	den Salat + HABEN + MANUAL_REVIEW		0	1 -> 0 -> 0	0	1 -> 0 -> 0						no matches to review	0					https://en.wiktionary.org/wiki/da_haben_wir_den_Salat
da lachen ja die Hühner	2793	2793	die Hühner + lach		0	24 -> 0	0	24 -> 0							0					https://en.wiktionary.org/wiki/da_lachen_ja_die_H%C3%BChner
Damaskuserlebnis	2794	2794	Damaskuserlebnis		4	4	4	4							4	Damaskuserlebnis				https://en.wiktionary.org/wiki/Damaskuserlebnis
das Fell gerben	2795	2795	das Fell + gerb		2	306 -> 2	2	306 -> 2							2	jemandem das Fell gerben				https://en.wiktionary.org/wiki/das_Fell_gerben
das Fell über die Ohren ziehen	2796	2796	das Fell + über die Ohren + ZIEHEN		3	306 -> 3 -> 3	3	306 -> 3 -> 3							3	jemandem das Fell über die Ohren ziehen				https://en.wiktionary.org/wiki/das_Fell_%C3%BCber_die_Ohren_ziehen
das Gesicht wahren	2797	2797	das Gesicht + wahr		6	366 -> 6	7	366 -> 7							6					https://en.wiktionary.org/wiki/das_Gesicht_wahren
das kann man wohl sagen	2798	2798	wohl sagen + KÖNNEN		1	3 -> 1	1	3 -> 1							1					https://en.wiktionary.org/wiki/das_kann_man_wohl_sagen
das kannst du laut sagen	2799	2799	laut sagen + KÖNNEN		0	0 -> 0	0	0 -> 0							0					https://en.wiktionary.org/wiki/das_kannst_du_laut_sagen
das Kind fällt in den Brunnen	2800	2800	das Kind + in den Brunnen + FALLEN		2	901 -> 2 -> 2	2	901 -> 2 -> 2							2					https://en.wiktionary.org/wiki/das_Kind_f%C3%A4llt_in_den_Brunnen
das Kraut fett machen	2801	2801	das Kraut + fett + MACHEN		0	15 -> 1 -> 0	0	15 -> 1 -> 0							0	das macht das Kraut auch nicht fett	das macht den Kohl auch nicht fett			https://en.wiktionary.org/wiki/das_Kraut_fett_machen
das Rad neu erfinden	2802	2802	das Rad + neu + ERFINDEN		1	105 -> 2 -> 1	1	110 -> 2 -> 1							1					https://en.wiktionary.org/wiki/das_Rad_neu_erfinden
das Wasser reichen können	2803	2803	das Wasser + reichen + KÖNNEN		4	1866 -> 6 -> 4	4	1868 -> 6 -> 4							4					https://en.wiktionary.org/wiki/das_Wasser_reichen_k%C3%B6nnen
dem Braten nicht trauen	2805	2805	dem Braten + nicht + TRAUEN		0	5 -> 0 -> 0	0	5 -> 0 -> 0							0					https://en.wiktionary.org/wiki/dem_Braten_nicht_trauen
dem Frieden nicht trauen	2806	2806	dem Frieden + nicht + TRAUEN		2	467 -> 11 -> 2	2	467 -> 11 -> 2							2					https://en.wiktionary.org/wiki/dem_Frieden_nicht_trauen
den Arsch aufreißen	2807	2807	den Arsch + \bauf(\b|r|z|g) + _REIẞEN		0	7 -> 5 -> 0	0	7 -> 5 -> 0							0	sich den Arsch aufreißen				https://en.wiktionary.org/wiki/den_Arsch_aufrei%C3%9Fen
den Ast absägen, auf dem man sitzt	2808	2808	den Ast + \bab(\b|s|z|g) + säg + SITZEN		0	12 -> 2 -> 0 -> 0	0	12 -> 4 -> 0 -> 0							0					https://en.wiktionary.org/wiki/den_Ast_abs%C3%A4gen%2C_auf_dem_man_sitzt
den Boden bereiten	2809	2809	den Boden + \bbereite		30	785 -> 30	30	785 -> 30							30					https://en.wiktionary.org/wiki/den_Boden_bereiten
den Buckel hinhalten	2810	2810	den Buckel + \bhin(\b|h|z|g)		0	3 -> 0	0	3 -> 0							0					https://en.wiktionary.org/wiki/den_Buckel_hinhalten
den grünen Daumen haben	2811	2811	den grünen Daumen + HABEN		0	0 -> 0	0	0 -> 0							0					https://en.wiktionary.org/wiki/den_gr%C3%BCnen_Daumen_haben
den Herrgott einen guten Mann sein lassen	2812	2812	den Herrgott + einen guten Mann + sein + LASSEN		0	0 -> 0 -> 0 -> 0	0	0 -> 0 -> 0 -> 0							0					https://en.wiktionary.org/wiki/den_Herrgott_einen_guten_Mann_sein_lassen
den Hof machen	2813	2813	den Hof + MACHEN		40	797 -> 40	41	797 -> 41							40	jemandem den Hof machen				https://en.wiktionary.org/wiki/den_Hof_machen
den Kopf hinhalten	2814	2814	den Kopf + \bhin(\b|h|z|g) + HALTEN		1	828 -> 11 -> 1	2	828 -> 11 -> 2							1					https://en.wiktionary.org/wiki/den_Kopf_hinhalten
den Schwarzen Peter zuschieben	2815	2815	den Schwarzen Peter + \bzu(\b|sch|zuschieben|geschoben) + _SCHIEBEN	den Schwarzen Peter + \bzu(\b|s|z|g) + _SCHIEBEN	1	1 -> 1 -> 1	1	1 -> 1 -> 1	1	1 -> 1 -> 1	1	1 -> 1 -> 1			1	jemandem den Schwarzen Peter zuschieben				https://en.wiktionary.org/wiki/den_Schwarzen_Peter_zuschieben
den Stecker ziehen	2816	2816	den Stecker + ZIEHEN		0	3 -> 0	0	3 -> 0							0					https://en.wiktionary.org/wiki/den_Stecker_ziehen
den Weg ebnen	2817	2817	den Weg + ebne		169	2101 -> 169	169	2104 -> 169							169					https://en.wiktionary.org/wiki/den_Weg_ebnen
den Wölfen zum Fraß vorwerfen	2818	2818	den Wölfen + zum Fraß + \bvor(\b|w|z|g) + _WERFEN		0	15 -> 0 -> 0 -> 0	0	15 -> 0 -> 0 -> 0							0					https://en.wiktionary.org/wiki/den_W%C3%B6lfen_zum_Fra%C3%9F_vorwerfen
der Appetit kommt beim Essen	2819	2819	der Appetit + beim Essen + KOMMEN		0	5 -> 0 -> 0	0	5 -> 0 -> 0							0					https://en.wiktionary.org/wiki/der_Appetit_kommt_beim_Essen
der Hut brennt	2820	2820	der Hut + \b(brennt|brannte|gebrannt)		1	154 -> 1	1	154 -> 1							1					https://en.wiktionary.org/wiki/der_Hut_brennt
dicht auf den Fersen	2821	2821	dicht + auf den Fersen		7	2101 -> 7	7	2101 -> 7							7					https://en.wiktionary.org/wiki/dicht_auf_den_Fersen
dickes Fell	2822	2822	[Dd]icke[smn]? Fell		4	4	4	4							4					https://en.wiktionary.org/wiki/dickes_Fell
die andere Wange hinhalten	2823	2823	die andere Wange + \bhin(\b|h|z|g) + _HALTEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0					https://en.wiktionary.org/wiki/die_andere_Wange_hinhalten
die Bank sprengen	2824	2824	die Bank + spreng		0	873 -> 0	0	875 -> 0							0					https://en.wiktionary.org/wiki/die_Bank_sprengen
die Bienchen und Blümchen	2825	2825	Bienchen und Blümchen		0	0	0	0							0					https://en.wiktionary.org/wiki/die_Bienchen_und_Bl%C3%BCmchen
die Dinge beim Namen nennen	2826	2826	die Dinge + beim Namen + NENNEN		2	217 -> 2 -> 2	2	217 -> 2 -> 2							2					https://en.wiktionary.org/wiki/die_Dinge_beim_Namen_nennen
die Ecke	2827	2827	die Ecke + MANUAL_REVIEW		85	85 -> 85	85	85 -> 85					1	0/50*85 found, so assume 0.5 matches	1					https://en.wiktionary.org/wiki/die_Ecke
die Gunst der Stunde nutzen	2829	2829	die Gunst der Stunde + nutz		25	30 -> 25	25	30 -> 25							25					https://en.wiktionary.org/wiki/die_Gunst_der_Stunde_nutzen
die Haare vom Kopf fressen	2830	2830	die Haare vom Kopf + FRESSEN		0	1 -> 0	0	1 -> 0							0					https://en.wiktionary.org/wiki/die_Haare_vom_Kopf_fressen
die Hoffnung stirbt zuletzt	2831	2831	die Hoffnung + zuletzt + \b(stirbt|starb|gestorben)		4	317 -> 5 -> 4	4	317 -> 5 -> 4							4					https://en.wiktionary.org/wiki/die_Hoffnung_stirbt_zuletzt
die Hölle heißmachen	2832	2832	die Hölle + \bheiß(\b|m|z|g) + _MACHEN		3	174 -> 3 -> 3	3	174 -> 3 -> 3							3					https://en.wiktionary.org/wiki/die_H%C3%B6lle_hei%C3%9Fmachen
die Katze beißt sich in den Schwanz	2834	2834	die Katze + in den Schwanz + \b(beißt|biss|gebissen)		1	121 -> 1 -> 1	1	121 -> 1 -> 1							1					https://en.wiktionary.org/wiki/die_Katze_bei%C3%9Ft_sich_in_den_Schwanz
die Klingen kreuzen	2835	2835	die Klingen + kreuz		0	34 -> 0	0	34 -> 0							0					https://en.wiktionary.org/wiki/die_Klingen_kreuzen
die Krätze kriegen	2836	2836	die Krätze + KRIEGEN		1	4 -> 1	1	4 -> 1							1					https://en.wiktionary.org/wiki/die_Kr%C3%A4tze_kriegen
die Krise kriegen	2837	2837	die Krise + KRIEGEN		0	218 -> 0	5	218 -> 5							0					https://en.wiktionary.org/wiki/die_Krise_kriegen
die Leviten lesen	2838	2838	die Leviten + LESEN		1	7 -> 1	1	7 -> 1							1	jemandem die Leviten lesen				https://en.wiktionary.org/wiki/die_Leviten_lesen
die Pfanne heiß haben	2839	2839	die Pfanne + \b[Hh]eiß\b + HABEN		0	10 -> 0 -> 0	0	10 -> 0 -> 0							0					https://en.wiktionary.org/wiki/die_Pfanne_hei%C3%9F_haben
die Ruhe weghaben	2840	2840	die Ruhe + \bweg(\b|h|z|g) + _HABEN		0	75 -> 0 -> 0	0	75 -> 1 -> 0							0					https://en.wiktionary.org/wiki/die_Ruhe_weghaben
die Stange halten	2841	2841	die Stange + HALTEN		7	24 -> 7	7	24 -> 7							7					https://en.wiktionary.org/wiki/die_Stange_halten
die Sterne vom Himmel	2842	2842	die Sterne vom Himmel		1	1	1	1							1	die Sterne vom Himmel				https://en.wiktionary.org/wiki/die_Sterne_vom_Himmel
die Stiefel lecken	2843	2843	die Stiefel + LECKEN		0	28 -> 0	0	28 -> 0							0					https://en.wiktionary.org/wiki/die_Stiefel_lecken
die Suppe versalzen	2844	2844	die Suppe + \bversalz		0	24 -> 0	0	24 -> 0							0					https://en.wiktionary.org/wiki/die_Suppe_versalzen
die Tage	2845	2845	die Tage + MANUAL_REVIEW		87	87 -> 87	89	89 -> 89					1	0/50*87 found, so assume 0.5 matches	1					https://en.wiktionary.org/wiki/die_Tage
die Würfel sind gefallen	2846	2846	die Würfel + \b(sind|waren)\b + gefallen		0	14 -> 5 -> 0	1	14 -> 6 -> 1							0					https://en.wiktionary.org/wiki/die_W%C3%BCrfel_sind_gefallen
Dorn im Auge	2848	2848	Dorn im Auge		86	86	86	86							86	jemandem ein Dorn im Auge sein				https://en.wiktionary.org/wiki/Dorn_im_Auge
Drahtzieher	2849	2849	Drahtzieher		98	98	98	98							98		Drahtzieher			https://en.wiktionary.org/wiki/Drahtzieher
Dreck am Stecken	2850	2850	Dreck am Stecken		0	0	0	0							0					https://en.wiktionary.org/wiki/Dreck_am_Stecken
Drogenfalle	2851	2851	Drogenfalle		0	0	0	0							0					https://en.wiktionary.org/wiki/Drogenfalle
durch den Wind	2852	2852	durch den Wind		73	73	73	73							73					https://en.wiktionary.org/wiki/durch_den_Wind
durch die Finger schauen	2853	2853	durch die Finger + SCHAUEN		0	2 -> 0	0	2 -> 0							0					https://en.wiktionary.org/wiki/durch_die_Finger_schauen
durch die Lappen gehen	2854	2854	durch die Lappen + GEHEN		1	1 -> 1	1	1 -> 1							1	jemandem durch die Lappen gehen	sich etwas durch den Kopf gehen lassen			https://en.wiktionary.org/wiki/durch_die_Lappen_gehen
durch die Weltgeschichte gondeln	2855	2855	durch die Weltgeschichte + gond(el|le)		0	1 -> 0	0	1 -> 0							0	durch die Weltgeschichte reisen	in der Weltgeschichte herumreisen			https://en.wiktionary.org/wiki/durch_die_Weltgeschichte_gondeln
durch die Weltgeschichte reisen	2856	2856	durch die Weltgeschichte + REISEN		0	1 -> 0	0	1 -> 0							0	durch die Weltgeschichte reisen	in der Weltgeschichte herumreisen			https://en.wiktionary.org/wiki/durch_die_Weltgeschichte_reisen
eher geht ein Kamel durch ein Nadelöhr	2857	2857	Kamel + Nadelöhr + GEHEN		1	75 -> 1 -> 1	1	75 -> 1 -> 1							1					https://en.wiktionary.org/wiki/eher_geht_ein_Kamel_durch_ein_Nadel%C3%B6hr
Eiertanz	2858	2858	Eiertanz		0	0	0	0							0					https://en.wiktionary.org/wiki/Eiertanz
ein Ass im Ärmel haben	2859	2859	Ass im Ärmel	ein Ass im Ärmel + HABEN	2	2	2	2	0	0 -> 0	0	0 -> 0			2	ein Ass im Ärmel haben				https://en.wiktionary.org/wiki/ein_Ass_im_%C3%84rmel_haben
ein Esel schimpft den andern Langohr	2860	2860	Esel + Langohr + schimpf		0	273 -> 0 -> 0	0	279 -> 0 -> 0							0					https://en.wiktionary.org/wiki/ein_Esel_schimpft_den_andern_Langohr
ein Gedächtnis wie ein Sieb	2861	2861	Gedächtnis + wie ein Sieb		0	603 -> 0	0	605 -> 0							0	ein Gedächtnis wie ein Sieb haben				https://en.wiktionary.org/wiki/ein_Ged%C3%A4chtnis_wie_ein_Sieb
ein Hühnchen rupfen	2862	2862	ein Hühnchen + rupf		0	2 -> 0	0	2 -> 0							0	mit jemandem ein Hühnchen zu rupfen haben				https://en.wiktionary.org/wiki/ein_H%C3%BChnchen_rupfen
ein Indianer kennt keinen Schmerz	2863	2863	keinen Schmerz + Indianer + KENNEN		0	6 -> 0 -> 0	0	6 -> 0 -> 0							0					https://en.wiktionary.org/wiki/ein_Indianer_kennt_keinen_Schmerz
ein Liedchen singen können	2864	2864	ein Liedchen + singen + KÖNNEN		0	2 -> 0 -> 0	0	2 -> 0 -> 0							0					https://en.wiktionary.org/wiki/ein_Liedchen_singen_k%C3%B6nnen
ein Stein fällt auf den Kopf	2865	2865	Stein + auf den Kopf + FALLEN		0	4723 -> 2 -> 0	0	4743 -> 2 -> 0							0					https://en.wiktionary.org/wiki/ein_Stein_f%C3%A4llt_auf_den_Kopf
Einbruch der Dunkelheit	2866	2866	Einbruch der Dunkelheit		53	53	53	53							53		Einbruch der Dunkelheit			https://en.wiktionary.org/wiki/Einbruch_der_Dunkelheit
Einbruch der Nacht	2867	2867	Einbruch der Nacht		29	29	29	29							29		Einbruch der Dunkelheit			https://en.wiktionary.org/wiki/Einbruch_der_Nacht
eine lange Nase machen	2868	2868	eine lange Nase + MACHEN		1	2 -> 1	1	2 -> 1							1					https://en.wiktionary.org/wiki/eine_lange_Nase_machen
eine Nase drehen	2869	2869	eine Nase + dreh		0	8 -> 0	0	8 -> 0							0					https://en.wiktionary.org/wiki/eine_Nase_drehen
eine Nummer schieben	2870	2870	eine Nummer + SCHIEBEN		0	85 -> 0	0	85 -> 0							0					https://en.wiktionary.org/wiki/eine_Nummer_schieben
eine Nummer zu groß	2871	2871	eine Nummer zu groß		18	18	18	18							18					https://en.wiktionary.org/wiki/eine_Nummer_zu_gro%C3%9F
eine Scheibe abschneiden	2872	2872	eine Scheibe + \bab(\b|schn|zuschneiden|geschnitten) + _SCHNEIDEN	eine Scheibe + \bab(\b|s|z|g) + _SCHNEIDEN	0	46 -> 2 -> 0	0	46 -> 2 -> 0	0	46 -> 4 -> 0	0	46 -> 4 -> 0			0	sich von jemandem eine Scheibe abschneiden können				https://en.wiktionary.org/wiki/eine_Scheibe_abschneiden
einen an der Waffel haben	2873	2873	einen + an der Waffel + HABEN		0	179566 -> 0 -> 0	0	179567 -> 0 -> 0							0					https://en.wiktionary.org/wiki/einen_an_der_Waffel_haben
einen Bären aufbinden	2874	2874	einen Bären + \bauf(\b|b|z|g) + _BINDEN		0	25 -> 6 -> 0	0	25 -> 7 -> 0							0	jemandem einen Bären aufbinden				https://en.wiktionary.org/wiki/einen_B%C3%A4ren_aufbinden
einen Besuch abstatten	2875	2875	einen Besuch + \bab(\b|statt|zustatten|gestattet)	einen Besuch + \bab(\b|s|z|g)	70	184 -> 70	72	184 -> 72	73	184 -> 73	77	184 -> 77			70					https://en.wiktionary.org/wiki/einen_Besuch_abstatten
einen guten Draht haben	2876	2876	einen guten Draht + HABEN		2	2 -> 2	2	2 -> 2							2					https://en.wiktionary.org/wiki/einen_guten_Draht_haben
einen Korb geben	2877	2877	einen Korb + GEBEN		8	30 -> 8	9	30 -> 9							8	jemandem einen Korb geben	jemandem einen Korb geben			https://en.wiktionary.org/wiki/einen_Korb_geben
einen Riegel vorschieben	2878	2878	einen Riegel + \bvor(\b|sch|zuschieben|geschoben) + SCHIEBEN	einen Riegel + \bvor(\b|s|z|g) + SCHIEBEN	1	12 -> 8 -> 1	1	12 -> 8 -> 1	1	12 -> 9 -> 1	1	12 -> 9 -> 1			1					https://en.wiktionary.org/wiki/einen_Riegel_vorschieben
einen Strick drehen	2879	2879	einen Strick + dreh		1	4 -> 1	1	4 -> 1							1					https://en.wiktionary.org/wiki/einen_Strick_drehen
einen Vogel zeigen	2880	2880	einen Vogel + ZEIGEN		2	34 -> 2	2	34 -> 2							2	jemandem einen Vogel zeigen				https://en.wiktionary.org/wiki/einen_Vogel_zeigen
einer Fliege etwas zuleide tun	2881	2881	Fliege + etwas zuleide + TUN		0	156 -> 0 -> 0	0	167 -> 0 -> 0							0					https://en.wiktionary.org/wiki/einer_Fliege_etwas_zuleide_tun
einer Sache Rechnung tragen	2882	2882	Rechnung + TRAGEN		421	1096 -> 421	425	1098 -> 425							421					https://en.wiktionary.org/wiki/einer_Sache_Rechnung_tragen
einfach so	2883	2883	einfach so + MANUAL_REVIEW		29	29 -> 29	29	29 -> 29					25	25/29	25					https://en.wiktionary.org/wiki/einfach_so
einfädeln	2884	2884	\bein(\b|fäd|zufädeln|gefädelt) + fäd(el|le)	\bein(\b|f|z|g) + fäd(el|le)	112	495607 -> 112	145	537579 -> 145	115	641739 -> 115	148	735148 -> 148			112					https://en.wiktionary.org/wiki/einf%C3%A4deln
einseifen	2885	2885	\bein(\b|seif|zuseifen|geseift) + seif	\bein(\b|s|z|g) + seif	29	495548 -> 29	170	537493 -> 170	40	649795 -> 40	237	763284 -> 237			29					https://en.wiktionary.org/wiki/einseifen
eiserner Bestand	2886	2886	eiserne(r|n|m|n) Best[aä]nd(e|en)?		2	2	2	2							2					https://en.wiktionary.org/wiki/eiserner_Bestand
Elfenbeinturm	2887	2887	Elfenbeinturm		17	17	17	17							17					https://en.wiktionary.org/wiki/Elfenbeinturm
Ende der Fahnenstange	2888	2888	Ende der Fahnenstange		0	0	0	0							0					https://en.wiktionary.org/wiki/Ende_der_Fahnenstange
englische Härte	2889	2889	englische[rn]? Härte.?		1	1	1	1							1					https://en.wiktionary.org/wiki/englische_H%C3%A4rte
englische Woche	2890	2890	englische[rn]? Wochen?		4	4	6	6							4					https://en.wiktionary.org/wiki/englische_Woche
Entsafter	2891	2891	Entsafter + MANUAL_REVIEW		2	2 -> 2	2	2 -> 2					0	0/2	0					https://en.wiktionary.org/wiki/Entsafter
Ernst	2892	2892	SEINMN Ernst		1	1	1	1							1					https://en.wiktionary.org/wiki/Ernst
erst recht	2893	2893	erst recht + MANUAL_REVIEW		137	137 -> 137	141	141 -> 141					134	=49/50*137	134					https://en.wiktionary.org/wiki/erst_recht
es kommt darauf an	2894	2894	es + kommt + da?rauf + an		60	267944 -> 4785 -> 88 -> 60	60	268143 -> 4785 -> 88 -> 60							60		es kommt darauf an			https://en.wiktionary.org/wiki/es_kommt_darauf_an
es selber machen	2895	2895	es + selber + MACHEN		4	267944 -> 152 -> 4	4	268143 -> 152 -> 4							4					https://en.wiktionary.org/wiki/es_selber_machen
es von den Lebenden nehmen	2896	2896	es + von den Lebenden + NEHMEN		0	267944 -> 2 -> 0	0	268143 -> 2 -> 0							0					https://en.wiktionary.org/wiki/es_von_den_Lebenden_nehmen
etwas am Hals haben	2897	2897	am Hals + HABEN		19	123 -> 19	19	123 -> 19							19					https://en.wiktionary.org/wiki/etwas_am_Hals_haben
etwas aus der Luft greifen	2898	2898	aus der Luft + GREIFEN		10	253 -> 10	11	253 -> 11							10					https://en.wiktionary.org/wiki/etwas_aus_der_Luft_greifen
etwas einreißen lassen	2899	2899	einreißen + LASSEN		5	20 -> 5	5	20 -> 5							5					https://en.wiktionary.org/wiki/etwas_einrei%C3%9Fen_lassen
etwas im Zaum halten	2900	2900	im Zaum + HALTEN		7	8 -> 7	8	8 -> 8							7					https://en.wiktionary.org/wiki/etwas_im_Zaum_halten
etwas in den Wind schlagen	2901	2901	in den Wind + SCHLAGEN		8	32 -> 8	9	32 -> 9							8	etwas in den Wind schlagen				https://en.wiktionary.org/wiki/etwas_in_den_Wind_schlagen
etwas in die Schanze schlagen	2902	2902	in die Schanze + SCHLAGEN		1	1 -> 1	1	1 -> 1							1					https://en.wiktionary.org/wiki/etwas_in_die_Schanze_schlagen
etwas unter den Teppich kehren	2903	2903	unter den Teppich + kehr		5	5 -> 5	5	5 -> 5							5	etwas unter den Teppich kehren				https://en.wiktionary.org/wiki/etwas_unter_den_Teppich_kehren
etwas zu Tage fördern	2904	2904	zu Tage + förder		82	336 -> 82	85	337 -> 85							82					https://en.wiktionary.org/wiki/etwas_zu_Tage_f%C3%B6rdern
fehl am Platz	2905	2905	fehl am Platz		12	12	12	12							12					https://en.wiktionary.org/wiki/fehl_am_Platz
Fehl und Tadel	2906	2906	Fehl und Tadel		2	2	2	2							2					https://en.wiktionary.org/wiki/Fehl_und_Tadel
Feld-Wald-und-Wiesen-	2907	2907	\bFeld-Wald-und-Wiesen-		0	0	0	0							0					https://en.wiktionary.org/wiki/Feld-Wald-und-Wiesen-
feucht hinter den Ohren	2908	2908	feucht + hinter den Ohren		0	379 -> 0	0	379 -> 0							0					https://en.wiktionary.org/wiki/feucht_hinter_den_Ohren
Feuerprobe	2909	2909	Feuerprobe + MANUAL_REVIEW		17	17 -> 17	17	17 -> 17					11	11/17; the counts exclude literal / witch-trial related events	11					https://en.wiktionary.org/wiki/Feuerprobe
fick dich	2910	2910	fick dich		2	2	2	2							2					https://en.wiktionary.org/wiki/fick_dich
Fisch muss schwimmen	2911	2911	Fische? + schwimmen + MÜSSEN + MANUAL_REVIEW		1	2152 -> 15 -> 1 -> 1	1	2158 -> 15 -> 1 -> 1					0	0/1	0					https://en.wiktionary.org/wiki/Fisch_muss_schwimmen
flach wie Holland	2912	2912	flach + wie Holland		0	1231 -> 0	0	1231 -> 0							0					https://en.wiktionary.org/wiki/flach_wie_Holland
flöten gehen	2913	2913	flöten + GEHEN		19	212 -> 19	19	212 -> 19							19					https://en.wiktionary.org/wiki/fl%C3%B6ten_gehen
fündig werden	2914	2914	fündig + WERDEN		85	86 -> 85	86	86 -> 86							85					https://en.wiktionary.org/wiki/f%C3%BCndig_werden
Fünfjahresplan	2915	2915	Fünfjahresplan		27	27	27	27							27					https://en.wiktionary.org/wiki/F%C3%BCnfjahresplan
fünftes Rad am Wagen	2916	2916	fünfte[smn]? Rad' + am Wagen		0	0 -> 0	0	0 -> 0							0					https://en.wiktionary.org/wiki/f%C3%BCnftes_Rad_am_Wagen
für das Protokoll	2917	2917	für das Protokoll		4	4	4	4							4	für das Protokoll				https://en.wiktionary.org/wiki/f%C3%BCr_das_Protokoll
fürs Protokoll	2918	2918	fürs Protokoll		0	0	0	0							0	für das Protokoll				https://en.wiktionary.org/wiki/f%C3%BCrs_Protokoll
ganz dicht sein	2919	2919	ganz dicht + MANUAL_REVIEW	ganz dicht + SEIN + MANUAL_REVIEW	3	3 -> 3	3	3 -> 3	2	3 -> 2 -> 2	2	3 -> 2 -> 2	0	0/3	0					https://en.wiktionary.org/wiki/ganz_dicht_sein
ganz schön	2920	2920	ganz schön		22	22	23	23							22					https://en.wiktionary.org/wiki/ganz_sch%C3%B6n
gehüpft wie gesprungen	2921	2921	gehüpft + wie gesprungen		0	4 -> 0	0	4 -> 0							0					https://en.wiktionary.org/wiki/geh%C3%BCpft_wie_gesprungen
gelb vor Neid	2922	2922	gelb + vor Neid		0	2208 -> 0	0	2208 -> 0							0		gelb vor Neid			https://en.wiktionary.org/wiki/gelb_vor_Neid
gelinde gesagt	2923	2923	gelinde gesagt		2	2	2	2							2					https://en.wiktionary.org/wiki/gelinde_gesagt
gemeiner Mitteleuropäer	2924	2924	[Gg]emeine[rnms]? Mitteleuropäer[ns]?		0	0	0	0							0					https://en.wiktionary.org/wiki/gemeiner_Mitteleurop%C3%A4er
gesund und munter	2925	2925	gesund und munter		2	2	2	2							2					https://en.wiktionary.org/wiki/gesund_und_munter
Gewalt antun	2926	2926	Gewalt + ANTUN		41	2857 -> 41	93	2869 -> 93							41					https://en.wiktionary.org/wiki/Gewalt_antun
große Liebe	2927	2927	[Gg]roße[rn]? Lieben?		192	192	192	192							192					https://en.wiktionary.org/wiki/gro%C3%9Fe_Liebe
grün vor Neid	2928	2928	grün + vor Neid		1	2657 -> 1	1	2657 -> 1							1		gelb vor Neid			https://en.wiktionary.org/wiki/gr%C3%BCn_vor_Neid
grüne Grenze	2929	2929	[Gg]rüne[rn]? Grenzen?		16	16	16	16							16					https://en.wiktionary.org/wiki/gr%C3%BCne_Grenze
gut Ding will Weile haben	2930	2930	gut Ding + Weile + haben + WOLLEN		0	0 -> 0 -> 0 -> 0	0	0 -> 0 -> 0 -> 0							0					https://en.wiktionary.org/wiki/gut_Ding_will_Weile_haben
gut Wetter machen	2931	2931	gut Wetter + MACHEN + MANUAL_REVIEW		0	2 -> 0 -> 0	0	2 -> 0 -> 0						no matches to review	0					https://en.wiktionary.org/wiki/gut_Wetter_machen
guten Glaubens	2932	2932	guten Glaubens		2	2	2	2							2					https://en.wiktionary.org/wiki/guten_Glaubens
guter Hoffnung	2933	2933	guter Hoffnung		3	3	3	3							3	guter Hoffnung sein	guter Hoffnung sein			https://en.wiktionary.org/wiki/guter_Hoffnung
Haar in der Suppe	2934	2934	Haar in der Suppe		2	2	2	2							2	Haar in der Suppe				https://en.wiktionary.org/wiki/Haar_in_der_Suppe
haben können	2935	2935	haben + KÖNNEN + MANUAL_REVIEW		4102	50926 -> 4102 -> 4102	4129	50927 -> 4129 -> 4129					10	0/200*4102 found, so assume 0.5 matches	10					https://en.wiktionary.org/wiki/haben_k%C3%B6nnen
halbe Miete	2936	2936	halbe[rn]? Mieten?		2	2	2	2							2					https://en.wiktionary.org/wiki/halbe_Miete
handeln	2937	2937	es + sich + \b(handelte?|gehandelt)\b + um + MANUAL_REVIEW		15645	267944 -> 41125 -> 15711 -> 15645 -> 15645	15741	268143 -> 41138 -> 15776 -> 15741 -> 15741					15645	=50/50*15645	15645					https://en.wiktionary.org/wiki/handeln
harte Nuss	2938	2938	[Hh]arte[rn]? Nuss		2	2	2	2							2	harte Nuss				https://en.wiktionary.org/wiki/harte_Nuss
heißes Eisen	2939	2939	\b[Hh]eiße\w* Eisen\b		9	9	9	9							9	ein heißes Eisen				https://en.wiktionary.org/wiki/hei%C3%9Fes_Eisen
hergehen	2940	2940	HER_GEHEN	\bher(\b|z|g) + _GEHEN	116	116	139	139	750	15497 -> 750	2966	38164 -> 2966			116					https://en.wiktionary.org/wiki/hergehen
Herz aus Gold	2941	2941	Herz aus Gold		2	2	2	2							2					https://en.wiktionary.org/wiki/Herz_aus_Gold
Herz aus Stein	2942	2942	Herz aus Stein		2	2	2	2							2					https://en.wiktionary.org/wiki/Herz_aus_Stein
hingehen, wo der Pfeffer wächst	2943	2943	\bhin(\b|z|g) + _GEHEN + wo der Pfeffer + WACHSEN		0	30664 -> 1715 -> 0 -> 0	1	35312 -> 2058 -> 1 -> 1							0					https://en.wiktionary.org/wiki/hingehen%2C_wo_der_Pfeffer_w%C3%A4chst
hinters Licht führen	2944	2944	hinters Licht + FÜHREN		16	16 -> 16	16	16 -> 16							16	jemanden hinters Licht führen				https://en.wiktionary.org/wiki/hinters_Licht_f%C3%BChren
