headword	orig order	re1	re2
umhergehen wie ein brüllender Löwe	2392	wie ein brüllender Löwe + umher + _GEHEN	
ums Leben kommen	2393	ums Leben + KOMMEN	
ums Verrecken nicht	2394	ums Verrecken nicht	
und ob	2395	und ob + MANUAL_REVIEW	
und tschüs	2396	und tschüs	
und tschüss	2397	und tschüss	
und täglich grüßt das Murmeltier	2398	täglich + grüßte? + das Murmeltier	
ungeschoren davonkommen	2399	ungeschoren + \bdavon(\b|k.m|zukommen|gekommen) + _KOMMEN	ungeschoren + \bdavon(\b|k|z|g) + _KOMMEN
ungeschriebenes Gesetz	2400	ungeschriebenes Gesetz	
Unkraut verdirbt nicht	2401	Unkraut + nicht + VERDERBEN	
Unkraut vergeht nicht	2402	Unkraut + nicht + VERGEHEN	
Unrat wittern	2403	Unrat + witter	
unter aller Kanone	2404	unter aller Kanone	
unter aller Sau	2405	unter aller Sau	
unter Dach und Fach	2406	unter Dach und Fach	
unter dem Messer liegen	2407	unter dem Messer + LIEGEN	
unter dem Siegel der Verschwiegenheit	2408	unter dem Siegel der Verschwiegenheit	
unter den Hammer bringen	2409	unter den Hammer	unter den Hammer + BRINGEN
unter den Hammer kommen	2410	unter den Hammer	unter den Hammer + KOMMEN
unter den Teppich kehren	2411	unter den Teppich + kehr	
unter der Erde liegen	2412	unter der Erde + LIEGEN	
unter der Hand	2413	unter der Hand	
unter der Tuchent	2414	unter der Tuchent	
unter der Woche	2415	unter der Woche	
unter die Gürtellinie gehen	2416	unter die Gürtellinie + GEHEN	
unter die Haube bringen	2417	unter die Haube + BRINGEN	
unter die Haut gehen	2418	unter die Haut + GEHEN	
unter einen Hut bringen	2419	unter einen Hut + BRINGEN	
unter einer Decke stecken	2420	unter einer Decke + _STECKEN	
unter ferner liefen	2421	unter ferner liefen	
unter jemandes Fuchtel stehen	2422	unter + Fuchtel + STEHEN	unter + Fuchtel + SEIN
unter Strom stehen	2423	unter Strom + STEHEN	
unter Tage	2424	unter Tage	
unter uns Pastorentöchtern	2425	unter uns Pastorentöchtern	
unter uns Pfarrerstöchtern	2426	unter uns Pfarrerstöchtern	
unter vier Augen	2427	unter vier Augen	
unter Waffen stehen	2428	unter Waffen + STEHEN	
Urlaub auf Balkonien machen	2429	Urlaub auf Balkonien + MACHEN	
va banque spielen	2430	va banque + spiel	
vae victis	2431	vae victis	
Vaterfreuden entgegensehen	2432	Vaterfreuden + \bentgegen(\b|s|z|g) + _SEHEN	
verantwortlich zeichnen	2433	verantwortlich + zeichn	
verbogene Nille	2434	verbogene Nille	
verdammte Axt	2435	verdammte Axt	
verlängerte Nille	2436	verlängerte Nille	
vernagelt sein	2437	vernagelt + SEIN	
Versicherung an Eides statt	2438	an Eides statt + (\bVersicherung|\bversicher)	
Versicherung an Eides Statt	2439	an Eides Statt + (\bVersicherung|\bversicher)	
viel Geschrei und wenig Wolle	2440	viel Geschrei und wenig Wolle	
viel Holz vor der Hütte haben	2441	viel Holz + vor der Hütte + HABEN	
viel um die Ohren haben	2442	um die Ohren + HABEN	
viel Wind um etwas machen	2443	viel Wind um + MACHEN	
viral gehen	2444	viral + GEHEN	
Vitamin B	2445	Vitamin B + MANUAL_REVIEW	
voll und ganz	2446	voll und ganz	
voll wie eine Haubitze	2447	wie eine Haubitze	
volle Kanne	2448	volle Kanne	
vom Fleck weg	2449	vom Fleck weg	
vom Fleisch fallen	2450	vom Fleisch + FALLEN	
vom Hundertsten ins Tausendste kommen	2451	vom Hundertsten ins Tausendste + KOMMEN	
vom Hölzchen aufs Stöckchen kommen	2452	vom Hölzchen aufs Stöckchen + KOMMEN	
vom Laster gefallen	2453	vom Laster gefallen	
vom Leder ziehen	2454	vom Leder + MANUAL_REVIEW	
vom Pfad der Tugend abweichen	2455	vom Pfad der Tugend + \bab(\b|w|z|g) + _WEICHEN	
vom Regen in die Traufe kommen	2456	vom Regen in die Traufe	
vom Schiff aus	2457	vom Schiff aus	
vom Tisch sein	2458	vom Tisch + SEIN	
von A bis Z	2459	von A bis Z	
von allen guten Geistern verlassen sein	2460	von allen + guten Geistern verlassen	
von Auge	2461	von Auge + MANUAL_REVIEW	
von blossem Auge	2462	von blossem Auge	
von dannen ziehen	2463	von dannen + ZIEHEN	
von den Socken sein	2464	von den Socken + SEIN	
von der Bühne abtreten	2465	von der Bühne + \bab(\b|t|z|g) + _TRETEN 	
von der Hand in den Mund leben	2466	von der Hand + Mund + LEBEN	
von der Steuer absetzen	2467	von der Steuer + \bab(\b|setz|zusetzen|gesetzt) + _SETZEN	von der Steuer + \bab(\b|s|z|g) + _SETZEN
von der Wiege bis zur Bahre	2468	von der Wiege bis zur Bahre	
von etwas Wind bekommen	2469	von + Wind + BEKOMMEN	
von früh bis spät	2470	von früh bis spät	
von Haus aus	2471	von Haus aus	
von Herzen kommen	2472	von Herzen + KOMMEN	
von heute auf morgen	2473	von heute auf morgen	
von hinten Lyzeum, von vorne Museum	2474	von hinten Lyzeum + von vorne Museum	
von Höcksken auf Stöcksken kommen	2475	von Höcksken auf Stöcksken + KOMMEN	
von jetzt auf gleich	2476	von jetzt auf gleich	
von keiner Kultur beleckt sein	2477	von keiner Kultur beleckt + SEIN	
von Kindesbeinen an	2478	von Kindesbeinen an	
von klein auf	2479	von klein auf	
von langer Hand	2480	von langer Hand	
von Luft und Liebe leben	2481	von Luft und Liebe	
von null auf hundert	2482	von null auf hundert	
von oben herab	2483	von oben herab	
von Pontius zu Pilatus	2484	von Pontius zu Pilatus	
von sich aus	2485	\b[Vv]on SICHD aus\b	
von Tuten und Blasen keine Ahnung haben	2486	von Tuten und Blasen + keine Ahnung + HABEN	
von vornherein	2487	von vornherein	
von Zeit zu Zeit	2488	von Zeit zu Zeit	
vor der eigenen Tür kehren	2489	vor der eigenen Tür + kehr	
vor die Hunde gehen	2490	vor die Hunde + GEHEN	
vor Dreck stehen	2491	vor Dreck + STEHEN	
vor Faulheit stinken	2492	vor Faulheit + STINKEN	
vor Freude an die Decke springen	2493	vor Freue an die Decke + SPRINGEN	
vor Gesundheit strotzen	2494	vor Gesundheit + strotz	
vor versammelter Mannschaft	2495	vor versammelter Mannschaft	
vorne und hinten nicht	2496	vorne und hinten nicht	
Wachs in jemandes Händen sein	2497	Wachs in SEINPD Händen	
was das Zeug hält	2498	was das Zeug + HALTEN	
was die Glocke geschlagen hat	2499	was + die Glocke + geschlagen + HABEN	
was liegt, das pickt	2500	was liegt, das pickt	
was man nicht im Kopf hat, hat man in den Beinen	2501	was man nicht im Kopf hat, hat man in den Beinen	
was weiß ich	2502	was weiß ich	
Wasser auf jemandes Mühle leiten	2503	Wasser auf SEINFA Mühle + LEITEN	
Wasser ins Meer tragen	2504	Wasser + ins Meer + TRAGEN	
Wasser lassen	2505	Wasser + LASSEN	
Wasser predigen und Wein trinken	2506	Wasser + predig + Wein + TRINKEN	
weder Hand noch Fuß haben	2507	weder Hand noch Fuß + HABEN	
weder noch	2508	weder noch	
weder Tod noch Teufel fürchten	2509	weder Tod noch Teufel + fürcht	
weg vom Fenster sein	2510	weg vom Fenster + SEIN	
weggehen wie heiße Semmeln	2511	wie (die )?heiße Semmeln + \bweg(\b|z|g) + _GEHEN	
weggehen wie warme Semmeln	2512	wie (die )?warme Semmeln + \bweg(\b|z|g) + _GEHEN	wie (die )?warme Semmeln + verkauf + SICH
wehret den Anfängen	2513	den Anfängen + (\bwehr|gewehrt)	
weinen wie ein Schlosshund	2514	wie ein Schlosshund + wein	
weiß der Geier	2515	der Geier + WISSEN	
weiße Weihnachten	2516	weiße Weihnachten	
weit hergeholt	2517	weit hergeholt	
weitab vom Schuss sein	2518	weitab vom Schuss + SEIN	
Wellen schlagen	2519	Wellen + SCHLAGEN	
wenn alle Stricke reißen	2520	wenn + alle Stricke + REIẞEN	
wenn es hoch kommt	2521	wenn es hoch kommt	
wenn Ostern und Pfingsten auf einen Tag fallen	2522	Ostern und Pfingsten + auf einen Tag + FALLEN	
wenn Ostern und Weihnachten auf einen Tag fallen	2523	Ostern und Weihnachten + auf einen Tag + FALLEN	
wenn schon, denn schon	2524	\b[Ww]enn schon\b.*\bdenn schon\b	
wennschon, dennschon	2525	\b[Ww]ennschon\b.*\bdennschon\b	
wer lesen kann, ist klar im Vorteil	2526	wer lesen kann + klar + im Vorteil + SEIN	
wer’s glaubt, wird selig	2527	wer.?s glaubt, wird selig	
wes Brot ich ess, des Lob ich sing	2528	wes Brot ich ess + des Lob ich sing	
wie am Schnürchen	2529	wie am Schnürchen	
wie angegossen passen	2530	wie angegossen + pass	
wie auch schon	2531	wie auch schon	
wie aus dem Bilderbuch	2532	wie aus dem Bilderbuch	
wie aus demselben Ei gebrütet	2533	wie aus demselben Ei + brüte	
wie aus demselben Ei gekrochen	2534	wie aus demselben Ei + KRIECHEN	
wie aus der Pistole geschossen	2535	wie aus (der|einer) Pistole geschossen	
wie aus Eimern gießen	2536	aus Eimern + GIEẞEN	
wie aus Eimern schütten	2537	aus Eimern + schütte	
wie aus einem Guss	2538	aus einem Guss	
wie bei den Hottentotten	2539	wie bei den Hottentotten	
wie bei Hempels unterm Sofa	2540	wie bei Hempels unterm Sofa	
wie bei Muttern	2541	wie bei Muttern	
wie Bolle	2542	wie Bolle	
wie Braunbier mit Spucke aussehen	2543	wie Braunbier mit Spucke	
wie Braunbier und Spucke aussehen	2544	wie Braunbier und Spucke	
wie das Leiden Christi aussehen	2545	wie das Leiden Christi	
wie die Feuerwehr	2546	wie die Feuerwehr	
wie die Hölle	2547	wie die Hölle	
wie die Nase des Mannes, so sein Johannes	2548	wie die Nase des Mannes, so sein Johannes	
wie die Pest	2549	wie die Pest	
wie ein Affe auf dem Schleifstein sitzen	2550	ein Affe auf dem Schleifstein	
wie ein begossener Pudel	2551	wie ein begossener Pudel	
wie ein Besengter	2552	wie ein Besengter	
wie ein Ei dem anderen gleichen	2553	wie ein Ei dem anderen + GLEICHEN	
wie ein geölter Blitz	2554	wie ein geölter Blitz	
wie ein Grab schweigen	2555	wie ein Grab + SCHWEIGEN	
wie ein Kaninchen vor der Schlange stehen	2556	wie ein Kaninchen vor der Schlange	
wie ein Lauffeuer	2557	wie ein Lauffeuer	
wie ein Schweizer Uhrwerk	2558	ein Schweizer Uhrwerk	
wie ein Storch im Salat	2559	wie ein Storch im Salat	
wie ein Veilchen im Verborgenen blühen	2560	wie ein Veilchen im Verborgenen	
wie Espenlaub zittern	2561	wie Espenlaub + zitter	
wie geht es dir	2562	wie geht es dir	
wie gerädert sein	2563	wie gerädert + SEIN	
wie gestochen	2564	wie gestochen	
wie im Bilderbuch	2565	wie im Bilderbuch	
wie in Abrahams Schoß	2566	wie in Abrahams Schoß	
wie Kastor und Pollux sein	2567	wie Kastor und Pollux	
wie Katz und Maus	2568	wie Katz und Maus	
wie Kraut und Rüben	2569	wie Kraut und Rüben	
wie mit Eimern gießen	2570	wie mit Eimern + GIEẞEN	
wie Pilze aus dem Boden schießen	2571	wie Pilze + aus dem Boden + SCHIEẞEN	ins Kraut + SCHIEẞEN
wie Sand am Meer	2572	wie Sand am Meer	
wie Schmidts Katze	2573	wie Schmidts Katze	
wie spät ist es	2574	wie spät ist es	
wie Titte mit Ei schmecken	2575	wie Titte mit Ei + schmeck	
wie vernagelt sein	2576	wie vernagelt + SEIN	
wie vom Donner gerührt	2577	wie vom Donner gerührt	
wie vom Erdboden verschluckt	2578	wie vom Erdboden + verschluck	
wie von der Tarantel gestochen	2579	wie von der Tarantel + gestochen	
wie’s Katzenmachen gehen	2580	Katzenmachen + GEHEN	
wild ins Kraut schießen	2581	wild + ins Kraut + SCHIEẞEN	
wilde Ehe	2582	wilde Ehe	
willens sein	2583	willens + SEIN	
Wink mit dem Zaunpfahl	2584	Wink mit dem Zaunpfahl	
wir werden das Kind schon schaukeln	2585	das Kind + schon + schaukeln + WERDEN	
wissen, wo Barthel den Most holt	2586	wo (der )?Barthel den Most holt + WISSEN	wo Barthel den Most holt + ZEIGEN
wissen, wo Bartli den Most holt	2587	wo (der )?Bartli den Most holt + WISSEN	
wissen, wo der Bartl den Most holt	2588	wo (der )?Bartl den Most holt + WISSEN	
wo der Schuh drückt	2589	wo der Schuh drückt(e)	
wo die Liebe hinfällt	2590	wo die Liebe hinfällt	
wo ein Aas ist, sammeln sich die Raben	2591	SICH + die Raben + samm(el|le)	
wo man hinspuckt	2592	wo man hinspuckt	
wo Rauch ist, ist auch Feuer	2593	wo Rauch + auch + Feuer + SEIN	
wo rohe Kräfte sinnlos walten	2594	rohe Kräfte + sinnlos + walte	
woher nehmen und nicht stehlen	2595	nehmen und nicht + STEHLEN	
wohl bekomms	2596	wohl bekomms	
Wohl und Wehe	2597	Wohl und Wehe	
Würmer baden	2598	Würmer + BADEN	
Zahlemann und Söhne	2599	Zahlemann und Söhne	
Zapfen haben	2600	Zapfen + HABEN	
zarte Bande knüpfen	2601	zarte Bände + knüpf	
zeigen, wo Barthel den Most holt	2602	wo (der )?Barthel den Most holt + ZEIGEN	
zeigen, wo Bartli den Most holt	2603	wo (der )?Bartli den Most holt + ZEIGEN	
zeigen, wo der Bartl den Most holt	2604	wo (der )?Bartl den Most holt + ZEIGEN	
zeigen, wo der Frosch die Locken hat	2605	wo der Frosch die Locken hat + ZEIGEN	
Zeit verstreichen lassen	2606	Zeit + verstreichen + LASSEN	
Zeit von der Uhr nehmen	2607	Zein + von der Uhr + NEHMEN	
Zeter und Mordio schreien	2608	Zeter und Mordio + schrei	
zu allem Ja und Amen sagen	2609	zu allem Ja und Amen + SAGEN	
zu Bett sein	2610	zu Bett + SEIN	
zu Buche schlagen	2611	zu Buche + SCHLAGEN	
zu etwas kommen wie die Jungfrau zum Kind	2612	wie die Jungfrau zum Kind + KOMMEN	
zu Händen von	2613	zu Händen von	
zu jemandem halten	2614	zu + HALTEN + MANUAL_REVIEW	
zu Kreuze kriechen	2615	zu Kreuze + KRIECHEN	
zu kurz kommen	2616	zu kurz + KOMMEN	
zu Neige gehen	2617	zu Neige + GEHEN	
zu Potte kommen	2618	zu Potte + KOMMEN	
zu Rande kommen	2619	zu Rande + KOMMEN	
zu sich kommen	2620	\b[Zz]u SICHD\b + KOMMEN	
zu Staub und Asche werden	2621	zu Staub und Asche + WERDEN	
zu tief ins Glas blicken	2622	zu tief ins Glas + blick	
zu tief ins Glas schauen	2623	zu tief ins Glas + SCHAUEN	
zu Tode kommen	2624	zu Tode + KOMMEN	
zu weit gehen	2625	zu weit + GEHEN	
zu Wort kommen	2626	zu Wort + KOMMEN	
zu wünschen übrig lassen	2627	zu wünschen + übrig + LASSEN	
zu zweien	2628	zu zweien	
zu zweit	2629	zu zweit	
Zucht und Ordnung	2630	Zucht und Ordnung	
Zuckerbrot und Peitsche	2631	Zuckerbrot und Peitsche	
zum alten Eisen zählen	2632	zum alten Eisen + gehör	zum alten Eisen + zähl
zum Anbeißen aussehen	2633	zum Anbeißen + \baus(\b|s|z|g) + _SEHEN	
zum Anbeißen sein	2634	zum Anbeißen + SEIN	
zum Anfassen	2635	zum Anfassen	
zum Anknabbern aussehen	2636	zum Anknabbern + \baus(\b|s|z|g) + _SEHEN	
zum Anknabbern sein	2637	zum Anknabbern + SEIN	
zum Donnerwetter	2638	zum Donnerwetter	
zum Lachen in den Keller gehen	2639	zum Lachen in den Keller + GEHEN	
zum Punkt kommen	2640	zum Punkt + KOMMEN	
zum Saufüttern	2641	zum Saufürttern	
zum Teufel gehen	2642	zum Teufel + GEHEN	
zum Vorschein bringen	2643	zum Vorschein + BRINGEN	
zum Vorschein kommen	2644	zum Vorschein + KOMMEN	zum Vorschein + BRINGEN
zum Zuge kommen	2645	zum Zuge + KOMMEN	
zur Engelmacherin gehen	2646	zur Engelmacherin + GEHEN	
zur Flasche greifen	2647	zur Flasche + GREIFEN	
zur Genüge	2648	zur Genüge	
zur Neige gehen	2649	zur Neige + GEHEN	
zur Sache kommen	2650	zur Sache + KOMMEN	
zur Salzsäule erstarren	2651	zur Salzsäule + erstarr	
zur See fahren	2652	zur See + FAHREN + MANUAL_REVIEW	
zur Sprache kommen	2653	zur Sprache + KOMMEN	
zur Welt bringen	2654	zur Welt + BRINGEN	
Zustände kriegen	2655	Zustände + KRIEGEN	
zwei Fliegen mit einer Klappe schlagen	2656	zwei Fliegen + Klappe + SCHLAGEN	
zwei linke Hände haben	2657	zwei linke Hände	
zwei Seelen wohnen, ach, in meiner Brust	2658	zwei Seelen wohnen + in meiner Brust	
zweiter Klasse	2659	zweiter Klasse	
zwischen Baum und Borke stehen	2660	zwischen Baum und Borke + STEHEN	zwischen Baum und Borke
zwischen den Jahren	2661	zwischen den Jahren	
zwischen den Zeilen lesen	2662	zwischen den Zeilen + LESEN	
zwischen die Fronten geraten	2663	zwischen die Fronten + GERATEN	
zwischen Skylla und Charybdis sein	2664	zwischen Skylla und Charybdis + SEIN	
zwischen Tür und Angel	2665	zwischen Tür und Angel	
ägyptische Finsternis	2666	ägyptische Finsternis	
Äpfel mit Birnen vergleichen	2667	Äpfel mit Birnen + VERGLEICHEN	
Öl auf die Wogen gießen	2668	Öl + auf + Wogen + GIEẞEN	
Öl ins Feuer gießen	2669	Öl + ins Feuer + GIEẞEN	
über alle Berge sein	2670	über alle Berge + SEIN	
über alle Zweifel erhaben sein	2671	über alle Zweifel + erhaben + SEIN	
über das Ziel hinausschießen	2672	über das Ziel + \bhinaus(\b|sch|zuschießen|geschossen) + _SCHIEẞEN	über das Ziel + \bhinaus(\b|s|z|g) + _SCHIEẞEN
über dem Berg sein	2673	über dem Berg + SEIN	
über den Berg sein	2674	über den Berg + SEIN	
über den eigenen Schatten springen	2675	über den (eigenen )?Schatten + SPRINGEN	
über den eigenen Schatten stolpern	2676	über den eigenen Schatten + stolper	
über den grünen Klee loben	2677	über den grünen Klee + LOBEN	
über den Jordan gehen	2678	über den Jorden + GEHEN	
über den Tellerrand schauen	2679	über den Tellerrand + SCHAUEN	
über die Runden kommen	2680	über die Runden + KOMMEN	
über die Schnur schlagen	2681	über die Schnur + SCHLAGEN	
über die Stränge schlagen	2682	über die Stränge + SCHLAGEN	
über die Wupper gehen	2683	über die Wupper + GEHEN	
über Gebühr	2684	über Gebühr	
über Gott und die Welt reden	2685	über Gott und die Welt + REDEN	
über Leichen gehen	2686	über Leichen + GEHEN	
über seine Verhältnisse leben	2687	über SEINPA Verhältnisse + LEBEN	
über seinen Schatten springen	2688	über SEINMA (eigenen )?Schatten + SPRINGEN	über den eigenen Schatten + SPRINGEN
über Stock und Stein	2689	über Stock und Stein	
überflüssig wie ein Kropf sein	2690	wie ein Kropf	
übers Ohr hauen	2691	übers Ohr + HAUEN	
’s Maul halten	2692	[’`]s Maul + HALTEN	
'n Appel und 'n Ei	2693	Appel und + Ei	Appel und + Ei + \b[Ff]ür(\b|'|`)
ab und zu	2694	ab und zu	
abbügeln	2695	\bab(\b|büg|zubügeln|gebügelt) + büg(el|le)	\bab(\b|b|z|g) + büg(el|le)
abfahren	2696	auf + \bab(\b|f.hr|zufahren|gefahren) + _FAHREN + MANUAL_REVIEW	\bab(\b|f|z|g) + _FAHREN + MANUAL_REVIEW
abgekartete Sache	2697	\b[Aa]bgekartete[rn]? Sachen?\b	
abgekartetes Spiel	2698	\b[Aa]bgekartete[smn]? Spiele?\b	
abkönnen	2699	\bab(\b|k.nn|zukönnen|gekonnt) + _KÖNNEN + MANUAL_REVIEW	\bab(\b|b|z|g) + _KÖNNEN + MANUAL_REVIEW
Alarm schlagen	2700	Alarm + SCHLAGEN	
alt werden	2701	alt + WERDEN + MANUAL_REVIEW	
alter Hut	2702	alte[rmn] Hut	
am helllichten Tag	2703	am helllichten Tag	
am Herd stehen	2704	am Herd + STEHEN	
am laufenden Band	2705	am laufenden Band	
am seidenen Faden hängen	2706	([Aa]m einem|[Aa]m) seidenen Faden + HÄNGENHING	am seidenen Faden + HÄNGENHING
am Wickel haben	2707	am Wickel + HABEN	
an Boden gewinnen	2708	an Boden + GEWINNEN	
an den Bettelstab bringen	2709	an den Bettelstab + BRINGEN	
an den Haaren herbeigezogen	2710	an den Haaren + \bherbei(\b|z|gezogen) + _ZIEHEN	an den Haaren + \bherbei(\b|z|g) + _ZIEHEN
an den Mann bringen	2711	an den Mann + BRINGEN	
an den Pranger stellen	2712	an den Pranger + STELLEN	
an den Tag legen	2713	an den Tag + LEGEN	
an der Ecke	2714	an der Ecke	
an der falschen Adresse sein	2715	an der falschen Adresse + SEIN	
an der Nase herumführen	2716	an der Nase + \bherum(\b|führ|zuführen|geführt) + FÜHREN	an der Nase + \bherum(\b|f|z|g) + FÜHREN
an die Kandare nehmen	2717	an die Kandare + NEHMEN	
an die Wand stellen	2718	an die Wand + STELLEN	
an Sankt Nimmerlein	2719	an Sankt Nimmerlein	
anderes Ufer	2720	\b[Aa]ndere[smn]? Ufer\b	
ans Licht kommen	2721	ans Licht + KOMMEN	
Anteil nehmen	2722	Anteil + NEHMEN	
arglistige Täuschung	2723	\b[Aa]rglistige[rn]? Täuschung(en)?	
Arsch in der Hose	2724	Arsch in der Hose	
Arschkriecher	2725	\bArschkriechers?\b	
Arschkriecherei	2726	Arschkriecherei	
Ass im Ärmel	2727	Ass im Ärmel	
auch andere Mütter haben schöne Töchter	2728	andere Mütter + schöne Töchter + HABEN	
auf 180	2729	\b[Aa]uf 180\b + MANUAL_REVIEW	
auf dem Damm	2730	auf dem Damm	
auf dem falschen Dampfer	2731	auf dem falschen Dampfer	
auf dem Kriegspfad	2732	auf dem Kriegspfad	
auf dem Laufenden halten	2733	auf dem Laufenden + HALTEN	auf dem Laufenden
auf dem richtigen Dampfer	2734	auf dem rightigen Dampfer	
auf dem Spiel	2735	auf dem Spiel	
auf den Arm nehmen	2736	auf den Arm + NEHMEN	
auf den Keks gehen	2737	auf den Keks + GEHEN	
auf den Schlips treten	2738	auf den Schlips + TRETEN	
auf den Senkel gehen	2739	auf den Senkel + GEHEN	
auf den Wecker gehen	2740	auf den Wecker + GEHEN	
auf den Zahn fühlen	2741	auf den Zahn + FÜHLEN	
auf den Zeiger gehen	2742	auf den Zeiger + GEHEN	
auf den Zug aufspringen	2743	auf den Zug + \bauf(\b|spr.ng|zuspringen|gesprungen) + _SPRINGEN	auf den Zug + \bauf(\b|s|z|g) + _SPRINGEN
auf der gleichen Wellenlänge	2744	auf der gleichen Wellenlänge	
auf der grünen Wiese	2745	auf der grünen Wiese	
auf der Kippe	2746	auf der Kippe	
auf die leichte Schulter nehmen	2747	auf die leichte Schulter + NEHMEN	
auf die Schippe nehmen	2748	auf die Schippe + NEHMEN	
auf die Sprünge helfen	2749	auf die Sprünge + HELFEN	
auf einem anderen Blatt stehen	2750	auf einem anderen Blatt + STEHEN	
auf einen Sprung vorbeikommen	2751	auf einen Sprung + \bvorbei(\b|k|z|g) + _KOMMEN	
auf etwas Gift nehmen können	2752	auf + Gift nehmen + KÖNNEN	
auf keine Kuhhaut passen	2753	auf keine Kuhhaut + pass	
auf Trab halten	2754	auf Trab + HALTEN	
aufs Geld gucken	2755	aufs Geld + gucken	
aufs Korn nehmen	2756	aufs Korn + NEHMEN	
Augen machen	2757	große Augen + MACHEN + MANUAL_REVIEW	
aus blauem Himmel	2758	aus blauem Himmel	
aus dem Ärmel schütteln	2759	aus dem Ärmel + schütt(el|le)	
aus dem gleichen Holz geschnitzt sein	2760	aus dem gleichen Holz + geschnitzt + SEIN	
aus dem Off	2761	aus dem Off	
aus der Not eine Tugend machen	2762	aus der Not + eine Tugend + MACHEN	
aus einem Guss	2763	aus einem Guss	
aus etwas Kapital schlagen	2764	aus + Kapital + SCHLAGEN	
aus heiterem Himmel	2765	aus heiterem Himmel	
ausbaden	2766	\baus(\b|bade|zubaden|gebadet) + bade + MANUAL_REVIEW	\baus(\b|b|z|g) + bade + MANUAL_REVIEW
außen hui, innen pfui	2767	außen hui + innen pfui	
außer Betracht bleiben	2768	außer Betracht + BLEIBEN	
außer Betracht lassen	2769	außer Betracht + LASSEN	
außer Frage	2770	außer Frage	
außer Kontrolle geraten	2771	außer Kontrolle + GERATEN	
außer sich	2772	außer sich	
Avancen machen	2773	Avancen + MACHEN	
bei allem gebotenen Respekt	2774	bei allem gebotenen Respekt	
bei aller Liebe	2775	bei aller Liebe	
bei jemandem sein	2776	bei + SEIN + MANUAL_REVIEW	
bei sich sein	2777	bei SICHD + SEIN + MANUAL_REVIEW	
beim Barte des Propheten	2778	beim Barte des Propheten	
beim besten Willen	2779	beim besten Willen	
Beine bis zum Boden	2780	Beine bis zum Boden	
beleidigte Leberwurst	2781	beleidigte Leberwurst	
Bescheid geben	2782	Bescheid + GEBEN	
bin ich Jesus	2783	bin ich Jesus	
blauer Dunst	2784	\bblaue[rnm]? Dunst\b	
Blech reden	2785	Blech + reden	
böses Erwachen	2786	\b[Bb]öse[smn]? Erwachen\b	
Brief und Siegel	2787	Brief und Siegel	
Briefmarkensammlung	2788	Briefmarkensammlung	
Chinesisch sprechen	2789	Chinesisch + sprechen + MANUAL_REVIEW	
Crème de la Crème	2790	Crème de la Crème	
da fährt die Eisenbahn drüber	2791	die Eisenbahn + \b[Dd]a?rüber + FAHREN	
da haben wir den Salat	2792	den Salat + HABEN + MANUAL_REVIEW	
da lachen ja die Hühner	2793	die Hühner + lach	
Damaskuserlebnis	2794	Damaskuserlebnis	
das Fell gerben	2795	das Fell + gerb	
das Fell über die Ohren ziehen	2796	das Fell + über die Ohren + ZIEHEN	
das Gesicht wahren	2797	das Gesicht + wahr	
das kann man wohl sagen	2798	wohl sagen + KÖNNEN	
das kannst du laut sagen	2799	laut sagen + KÖNNEN	
das Kind fällt in den Brunnen	2800	das Kind + in den Brunnen + FALLEN	
das Kraut fett machen	2801	das Kraut + fett + MACHEN	
das Rad neu erfinden	2802	das Rad + neu + ERFINDEN	
das Wasser reichen können	2803	das Wasser + reichen + KÖNNEN	
dem Braten nicht trauen	2805	dem Braten + nicht + TRAUEN	
dem Frieden nicht trauen	2806	dem Frieden + nicht + TRAUEN	
den Arsch aufreißen	2807	den Arsch + \bauf(\b|r|z|g) + _REIẞEN	
den Ast absägen, auf dem man sitzt	2808	den Ast + \bab(\b|s|z|g) + säg + SITZEN	
den Boden bereiten	2809	den Boden + \bbereite	
den Buckel hinhalten	2810	den Buckel + \bhin(\b|h|z|g)	
den grünen Daumen haben	2811	den grünen Daumen + HABEN	
den Herrgott einen guten Mann sein lassen	2812	den Herrgott + einen guten Mann + sein + LASSEN	
den Hof machen	2813	den Hof + MACHEN	
den Kopf hinhalten	2814	den Kopf + \bhin(\b|h|z|g) + HALTEN	
den Schwarzen Peter zuschieben	2815	den Schwarzen Peter + \bzu(\b|sch|zuschieben|geschoben) + _SCHIEBEN	den Schwarzen Peter + \bzu(\b|s|z|g) + _SCHIEBEN
den Stecker ziehen	2816	den Stecker + ZIEHEN	
den Weg ebnen	2817	den Weg + ebne	
den Wölfen zum Fraß vorwerfen	2818	den Wölfen + zum Fraß + \bvor(\b|w|z|g) + _WERFEN	
der Appetit kommt beim Essen	2819	der Appetit + beim Essen + KOMMEN	
der Hut brennt	2820	der Hut + \b(brennt|brannte|gebrannt)	
dicht auf den Fersen	2821	dicht + auf den Fersen	
dickes Fell	2822	[Dd]icke[smn]? Fell	
die andere Wange hinhalten	2823	die andere Wange + \bhin(\b|h|z|g) + _HALTEN	
die Bank sprengen	2824	die Bank + spreng	
die Bienchen und Blümchen	2825	Bienchen und Blümchen	
die Dinge beim Namen nennen	2826	die Dinge + beim Namen + NENNEN	
die Ecke	2827	die Ecke + MANUAL_REVIEW	
die Gunst der Stunde nutzen	2829	die Gunst der Stunde + nutz	
die Haare vom Kopf fressen	2830	die Haare vom Kopf + FRESSEN	
die Hoffnung stirbt zuletzt	2831	die Hoffnung + zuletzt + \b(stirbt|starb|gestorben)	
